TIMESTAMP,RECORD,AirTC_Avg,RH,T107_C,T107_C_2,WP_kPa,WP_kPa_2,VW_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrkW_Avg,SlrMJ_Tot,NR_Wm2_Avg,CNR_Wm2_Avg,Rain_mm_Tot,BP_mbar_Avg
2016-05-06,2783.5,13.804,65.665,-98.634,-115.277,-3.695,-3.6919999999999997,,1.043,114.084,30.866,0.198,1.786,93.09899999999999,93.103,0.0,1005.2080000000001
2016-05-07,2879.5,13.748,84.585,-99.486,-126.555,-3.697,-3.695,,1.178,81.527,36.524,0.179,1.611,85.95,85.95100000000001,0.0,1000.9169999999999
2016-05-08,2975.5,18.144000000000002,68.734,-98.416,-115.948,-3.695,-3.6919999999999997,,1.044,127.221,37.654,0.253,2.2769999999999997,137.22899999999998,137.234,0.0,1001.1669999999999
2016-05-09,3071.5,17.756,69.06,-98.13799999999999,-110.234,-3.6889999999999996,-3.688,,1.521,117.89200000000001,34.77,0.24,2.158,130.43,130.497,0.0,1003.0419999999999
2016-05-10,3167.5,13.547,93.88799999999999,-99.941,-117.655,,,,1.6019999999999999,72.828,31.355,0.036000000000000004,0.322,-2.57,-2.57,0.0,1001.2919999999999
2016-05-11,3263.5,13.684000000000001,94.43,-103.696,-115.818,,,,1.66,52.22,31.526999999999997,0.06,0.542,14.765999999999998,14.767999999999999,0.0,998.49
2016-05-12,3359.5,14.922,82.516,-102.85,-117.787,-3.698,-3.698,,1.902,123.08200000000001,40.47,0.256,2.302,137.183,137.36700000000002,0.0,998.8439999999999
2016-05-13,3455.5,10.52,80.567,-109.50299999999999,-136.296,,,,2.318,45.674,35.312,0.105,0.945,61.412,61.496,0.0,1006.198
2016-05-14,3551.5,9.36,61.813,-103.75399999999999,-126.979,,,,1.311,190.62900000000002,41.483000000000004,0.221,1.986,112.429,112.428,0.0,1013.4580000000001
2016-05-15,3647.5,10.550999999999998,68.45,-102.667,-121.711,,,,1.3330000000000002,226.727,37.15,0.247,2.225,121.42399999999999,121.427,0.0,1015.0310000000001
2016-05-16,3743.5,10.815999999999999,72.764,-102.405,-121.06700000000001,,,,1.525,286.324,29.905,0.24,2.165,111.22399999999999,111.227,0.0,1014.115
2016-05-17,3839.5,13.067,72.97399999999999,-101.915,-123.00399999999999,-3.698,-3.697,,1.171,248.27,47.726000000000006,0.22399999999999998,2.016,109.116,109.117,0.0,1007.75
